List Name,Title,Description,Labels
Backlog,Plugin Installer,"Create install/uninstall scripts for collections, indexes, and initial seeds.","Installer"
Backlog,Workspace Header Enforcement,"Ensure all new plugin APIs require x-workspace-id and validate membership.","Multi-tenant"
Backlog,API Permission Middleware,"Add RBAC checks per action on all plugin routes.","RBAC"
Backlog,Define Roles & Policy,"Owner/Admin/Member/BillingManager/Viewer with atomic permissions.","RBAC"
Backlog,Role-based Onboarding,"Guide subscribers (members) to core only; restrict billing/deploy/users.","RBAC"
Backlog,Finalize Mongo Models,"Companies, Dashboards, Templates, Tiles, Contacts, Outreach, Bookmarks, Files, JobLogs, Credits.","Data Layer"
Backlog,Type/DTO Normalization,"Align UI types with backend (Mongo ids as string/ObjectId in server).","Data Layer"
Backlog,LLM Provider Abstraction,"Single provider with streaming, cache, token budgeting and error handling.","LLM Engine"
Backlog,Credits Debit (Idempotent),"Atomic debit per LLM call with idempotency key and balance checks.","Billing & Credits"
Backlog,Sales Research Deck,"DeckEngine deck: prepare-context, run-template, update-credits.","Jobs/Queue"
Backlog,Job Progress Channel,"Emit progress by jobId (polling or SSE) and reflect in UI.","Jobs/Queue"
Backlog,Templates CRUD API,"/api/sales-assistant/templates: GET/POST/PUT/DELETE with workspace isolation.","APIs"
Backlog,Companies/Dashboards API,"/api/sales-assistant/companies and /dashboards (workspace-aware).","APIs"
Backlog,Tile Single Run API,"/api/sales-assistant/tiles/run with LLM streaming and caching.","APIs"
Backlog,Tile Bulk API,"/api/sales-assistant/tiles/bulk enqueue jobs with concurrency limits.","APIs"
Backlog,Contacts/Insights API,"/api/sales-assistant/contacts + /contacts/insights (auto notes).","APIs"
Backlog,Outreach API,"/api/sales-assistant/outreach: generate/edit/bookmark.","APIs"
Backlog,Credits API,"/api/sales-assistant/credits (GET) and /credits/debit (POST).","APIs"
Backlog,UI Wire-up TileGrid,"Connect TileGrid/TileComponent to new streaming/LLM endpoints.","UI/UX"
Backlog,Connect Companies/Contacts,"Point existing components to new plugin APIs (workspace-aware).","UI/UX"
Backlog,Outreach Editor Integration,"Use unified LLM provider and bookmark flows in UI.","UI/UX"
Backlog,Dashboard Templates UI,"Save/Apply prompt sets per workspace in the dashboard.","UI/UX"
Backlog,Credits Bar & Warnings,"Display remaining credits and near-limit warnings.","UI/UX"
Backlog,Cloudinary Upload,"Unify upload endpoints and attach files by workspace/company/dashboard.","Core App"
Backlog,Notes & Context,"Add simple notes endpoint and render in context panel.","Core App"
Backlog,Admin Panel (Jobs/Logs),"List jobs, retries, metrics; simple admin view.","Monitoring"
Backlog,Sentry/Logflare (optional),"Error tracking and logs aggregation (optional).","Monitoring"
Backlog,Docs & Runbooks,"Setup, environment, support flows, and operational guides.","Operations"
Backlog,Deploy Checklist,"Dev/Staging/Prod checklists, envs, and Stripe/Clerk configs.","Operations"
In Progress,Integration with dashboardapp-main 2,"Reuse UI (TileGrid, Companies, Contacts, Outreach); adapt to Clerk/x-workspace-id/Mongo/DeckEngine.","Integration"
In Review,RBAC Policy Review,"Validate role-permissions matrix and edge cases.","RBAC"
Blocked,Stripe Webhook Mapping,"Await keys/configs to map subscription → workspace credits/plan.","Billing & Credits"
Done,Planning Artifacts,"PLAN-SALES-ASSISTANT.md + auxiliary plans (domains, tasks, roadmap, installer, LLM, RBAC, integration).","Operations"
